"filename", "language", "Astro", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\assets\astro.svg", "XML", 0, 1, 0, 0, 1, 2
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\assets\background.svg", "XML", 0, 1, 0, 0, 1, 2
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\BreadCrumb.astro", "Astro", 0, 0, 0, 0, 1, 1
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Carrusel\Carrusel.astro", "Astro", 153, 0, 0, 2, 31, 186
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Carrusel\carrusel.css", "PostCSS", 0, 0, 164, 7, 24, 195
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Navbar\Navbar.astro", "Astro", 199, 0, 0, 25, 35, 259
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Navbar\Navbar.css", "PostCSS", 0, 0, 355, 7, 59, 421
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Noticias\Noticias.astro", "Astro", 113, 0, 0, 10, 11, 134
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Noticias\Noticias.css", "PostCSS", 0, 0, 153, 8, 4, 165
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Proyectos\Proyectos.astro", "Astro", 65, 0, 0, 0, 5, 70
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\Proyectos\Proyectos.css", "PostCSS", 0, 0, 341, 16, 78, 435
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\TopBar\TopBar.astro", "Astro", 21, 0, 0, 1, 5, 27
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\TopBar\TopBar.css", "PostCSS", 0, 0, 78, 3, 12, 93
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\actividades_investigacion\Actividades.astro", "Astro", 186, 0, 0, 6, 10, 202
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\actividades_investigacion\Actividades.css", "PostCSS", 0, 0, 96, 7, 5, 108
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\footer\Footer.css", "PostCSS", 0, 0, 73, 0, 15, 88
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\components\footer\footer.astro", "Astro", 55, 0, 0, 3, 7, 65
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\layouts\Layout.astro", "Astro", 30, 0, 0, 0, 2, 32
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\ConvocatoriaInvestigacion.astro", "Astro", 329, 0, 0, 3, 59, 391
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\CulturaCientifica.astro", "Astro", 0, 0, 0, 0, 1, 1
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\Noticias.astro", "Astro", 465, 0, 0, 4, 73, 542
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\PropiedadIntelectual.astro", "Astro", 531, 0, 0, 2, 73, 606
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\SemanaCientifica.astro", "Astro", 423, 0, 0, 4, 68, 495
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\CulturaCientifica\Semper.astro", "Astro", 250, 0, 0, 5, 29, 284
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\CentroDeEstudios.astro", "Astro", 167, 0, 0, 0, 13, 180
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\Grupo_Investigacion\Grupo_Investigacion.astro", "Astro", 102, 0, 0, 0, 5, 107
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\Grupo_Investigacion\pagina-2.astro", "Astro", 119, 0, 0, 0, 8, 127
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\InvestigaUnev.astro", "Astro", 0, 0, 0, 0, 1, 1
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\Laboratorio.astro", "Astro", 171, 0, 0, 6, 33, 210
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\Observatorio.astro", "Astro", 146, 0, 0, 0, 16, 162
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\InvestigaUnev\ProyectosPage.astro", "Astro", 179, 0, 0, 2, 14, 195
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\SobreNosotros\Consejo_Investigacion.astro", "Astro", 990, 0, 0, 15, 140, 1145
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\SobreNosotros\Direccion.astro", "Astro", 203, 0, 0, 2, 19, 224
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\SobreNosotros\Documentacion.astro", "Astro", 160, 0, 0, 1, 19, 180
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\SobreNosotros\Investigacion.astro", "Astro", 223, 0, 0, 4, 30, 257
"c:\Users\micha\OneDrive\Escritorio\Proyecto Web\Pasantia-main\Unev_Page\src\pages\index.astro", "Astro", 49, 0, 0, 0, 6, 55
"Total", "-", 5329, 2, 1260, 143, 913, 7647
